,usageKey,acceptedUsageKey,scientificName,canonicalName,verbatim_name,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,verbatim_index
1291,5361764,NA,Myriophyllum sibiricum Kom.,Myriophyllum sibiricum,Myriophyllum sibiricum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum sibiricum,6,7707728,220,7219248,6694,2984253,5361764,FALSE,1291
1292,5329315,NA,Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt,Najas flexilis,Najas flexilis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Najas,Najas flexilis,6,7707728,196,551,3721,2865618,5329315,FALSE,1292
1293,2816213,NA,Neottia cordata (L.) Rich.,Neottia cordata,Neottia cordata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neottia,Neottia cordata,6,7707728,196,1169,7689,2816155,2816213,FALSE,1293
1294,3171733,NA,Pedicularis sudetica Willd.,Pedicularis sudetica,Pedicularis sudetica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis sudetica,6,7707728,220,408,6651,3171670,3171733,FALSE,1294
1295,2797898,NA,Platanthera hyperborea (L.) Lindl.,Platanthera hyperborea,Platanthera hyperborea,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera hyperborea,6,7707728,196,1169,7689,2797839,2797898,FALSE,1295
1296,2704806,NA,Pleuropogon sabinei R.Br.,Pleuropogon sabinei,Pleuropogon sabinei,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Pleuropogon,Pleuropogon sabinei,6,7707728,196,1369,3073,2704803,2704806,FALSE,1296
1297,2704178,NA,Poa pratensis L.,Poa pratensis,Poa pratensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,Poa pratensis,6,7707728,196,1369,3073,2704173,2704178,FALSE,1297
1298,5301148,NA,Potamogeton epihydrus Raf.,Potamogeton epihydrus,Potamogeton epihydrus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton epihydrus,6,7707728,196,551,6721,2756560,5301148,FALSE,1298
1299,5301226,NA,Potamogeton polygonifolius Pourr.,Potamogeton polygonifolius,Potamogeton polygonifolius,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton polygonifolius,6,7707728,196,551,6721,2756560,5301226,FALSE,1299
1300,8313801,NA,Primula egaliksensis Wormsk. ex Hornem.,Primula egaliksensis,Primula egaliksensis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula egaliksensis,6,7707728,220,1353,6674,8026112,8313801,FALSE,1300
1301,5341297,NA,Prunella vulgaris L.,Prunella vulgaris,Prunella vulgaris,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Prunella,Prunella vulgaris,6,7707728,220,408,2497,2926553,5341297,FALSE,1301
1302,3033477,NA,Ranunculus hederaceus L.,Ranunculus hederaceus,Ranunculus hederaceus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus hederaceus,6,7707728,220,399,2410,3033294,3033477,FALSE,1302
1303,6375524,NA,Ranunculus reptans L.,Ranunculus reptans,Ranunculus reptans,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus reptans,6,7707728,220,399,2410,3033294,6375524,FALSE,1303
1304,3029627,NA,Sanguisorba officinalis L.,Sanguisorba officinalis,Sanguisorba officinalis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,Sanguisorba officinalis,6,7707728,220,691,5015,3029383,3029627,FALSE,1304
1305,3032811,NA,Saxifraga hirculus L.,Saxifraga hirculus,Saxifraga hirculus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga hirculus,6,7707728,220,7219248,2402,2987833,3032811,FALSE,1305
1306,2865260,NA,Scheuchzeria palustris L.,Scheuchzeria palustris,Scheuchzeria palustris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Scheuchzeriaceae,Scheuchzeria,Scheuchzeria palustris,6,7707728,196,551,3723,2864280,2865260,FALSE,1306
1307,7809564,NA,Sparganium glomeratum (Laest. ex Beurl.) Beurl.,Sparganium glomeratum,Sparganium glomeratum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium glomeratum,6,7707728,196,1369,4246,2702260,7809564,FALSE,1307
1308,2702302,NA,Sparganium hyperboreum Laest. ex Beurl.,Sparganium hyperboreum,Sparganium hyperboreum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium hyperboreum,6,7707728,196,1369,4246,2702260,2702302,FALSE,1308
1309,2805404,NA,Spiranthes romanzoffiana Cham.,Spiranthes romanzoffiana,Spiranthes romanzoffiana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes romanzoffiana,6,7707728,196,1169,7689,2805315,2805404,FALSE,1309
1310,2756555,NA,Stuckenia vaginata (Magnin) Holub,Stuckenia vaginata,Stuckenia vaginata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,Stuckenia,Stuckenia vaginata,6,7707728,196,551,6721,2756544,2756555,FALSE,1310
1311,5373421,NA,Subularia aquatica L.,Subularia aquatica,Subularia aquatica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Subularia,Subularia aquatica,6,7707728,220,7225535,3112,7828913,5373421,FALSE,1311
1312,2865368,NA,Triglochin maritima L.,Triglochin maritima,Triglochin maritima,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin maritima,6,7707728,196,551,7679,2777072,2865368,FALSE,1312
1313,7960979,NA,Urtica dioica L.,Urtica dioica,Urtica dioica,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,6,7707728,220,691,6639,2984391,7960979,FALSE,1313
